Rank,Weeks-Present,Index-Link,Article,Views,Admin-Note,Date-Created,Simple-Date-Created,Year-Created,Unique-ID,Description,Instance,Instance-ID,Alt-Instance,Alt-ID,Comment
1,null,wiki/Nicolaus_Copernicus,Nicolaus Copernicus,2984775,"Google celebrated the 540th birthday of Nicolaus Copernicus with an animated Google Doodle of Copernicus's model of the solar system on February 19, 2013.",11-20-2001 16:58:00,11-20-2001,2001,Q619,Polish mathematician and astronomer (1473-1543).,Human,Q5,,,
2,null,wiki/Harlem_Shake_(meme),Harlem Shake (meme),2122810,The latest internet craze.,02-12-2013 22:35:00,02-12-2013,2013,Q4606965,Internet meme.,Viral video,Q1030329,,,
3,2,wiki/Harlem_shake,Harlem shake,180669,"This page was only created on February 12, and is actually only a brief disambiguation page to help people find Harlem Shake (meme), which is #2 this week.",02-12-2013 22:29:00,02-12-2013,2013,Q4607289,Wikipedia disambiguation page.,Wikimedia project page,Q14204246,,,
4,null,wiki/Mindy_McCready,Mindy McCready,1647474,"This American country music singer committed suicide on February 17, 2013. She was found dead on her front porch, the same place where David Wilson, her former boyfriend and the father of her younger son, had killed himself one month prior.",06-06-2005 11:40:00,06-06-2005,2005,Q539064,American singer (1975-2013).,Human,Q5,,,
5,null,wiki/Edward_Gorey,Edward Gorey,1218482,Google UK celebrated the 88th birthday of writer and illustrator Edward Gorey (1925-2000) with a series of drawings in his distinct style.,09-20-2002 15:43:00,09-20-2002,2002,Q982401,American author and illustrator (1925-2000).,Human,Q5,,,
6,2,wiki/Oscar_Pistorius,Oscar Pistorius,1047284,"Up from 868,523 views last week. On 14 February 2013, the famed double below knee amputee and Olympic athlete was charged with murdering his girlfriend Reeva Steenkamp earlier that day, and news coverage of the story is continuing.",06-27-2006 9:52:00,06-27-2006,2006,Q201377,South African sprinter and convicted murderer (born 1986).,Human,Q5,,,
7,null,wiki/Amazon_(company),Amazon.com,772069,The popular online retailer's article has had a rise in page counts since February 13. Inthe news this week over a dispute in the United States over sales tax.,09-24-2002 11:49:00,09-24-2002,2002,Q3884,American multinational technology company.,Public company,Q891723,Website,Q35127,"Title changed from ""Amazon.com"" to ""Amazon (company)"" in 2014."
8,null,wiki/Harlem_shake_(dance),Harlem shake (dance),686591,"The article on this 1981 dance is popular this week due to the new Harlem Shake (meme), see #2 and #3 above.",07-31-2006 22:42:00,07-31-2006,2006,Q5169794,Hip-hop dance.,Type of dance,Q107357104,,,
9,7,wiki/Facebook,Facebook,690015,"Up from 633,428 views last week, a perennially favorite article.",04-30-2004 0:08:00,04-30-2004,2004,Q355,American social media and online social networking service.,Website,Q35127,Mobile app,Q620615,
10,7,wiki/G-force,G-force,592685,"The continuing popularity of this article is a bit mystifying, possibly could be influenced by non-human views. Its popularity increased in June 2012 and has stayed that way. Down from 669,731 views last week.",12-05-2003 18:43:00,12-05-2003,2003,Q284602,Term for accelerations felt as weight and measurable by accelerometers.,Unit of measurement,Q47574,,,
